Datetime,Water Level (m)
2024-03-09 06:00:00,-0.057525855
2024-03-09 07:00:00,0.20459877
2024-03-09 08:00:00,0.45682034
2024-03-09 09:00:00,0.45409933
2024-03-09 10:00:00,0.27955088
2024-03-09 11:00:00,0.10909559
2024-03-09 12:00:00,-0.09496857
2024-03-09 13:00:00,-0.27539015
2024-03-09 14:00:00,-0.44327056
2024-03-09 15:00:00,-0.6169115
2024-03-09 16:00:00,-0.68742454
2024-03-09 17:00:00,-0.2994501
2024-03-09 18:00:00,0.0409876
2024-03-09 19:00:00,0.41611388
2024-03-09 20:00:00,0.799419
2024-03-09 21:00:00,0.8549492
2024-03-09 22:00:00,0.64704704
2024-03-09 23:00:00,0.4087313
2024-03-10 00:00:00,0.16676785
2024-03-10 01:00:00,-0.050523452
2024-03-10 02:00:00,-0.2312307
2024-03-10 03:00:00,-0.41701502
2024-03-10 04:00:00,-0.6180953
2024-03-10 05:00:00,-0.60471535
2024-03-10 06:00:00,-0.12860824
2024-03-10 07:00:00,0.18547618
2024-03-10 08:00:00,0.5244319
2024-03-10 09:00:00,0.77750564
2024-03-10 10:00:00,0.62153554
2024-03-10 11:00:00,0.388928
2024-03-10 12:00:00,0.17782988
2024-03-10 13:00:00,-0.04730669
2024-03-10 14:00:00,-0.2226596
2024-03-10 15:00:00,-0.39885232
2024-03-10 16:00:00,-0.5869325
2024-03-10 17:00:00,-0.5835076
2024-03-10 18:00:00,-0.12676497
2024-03-10 19:00:00,0.21484686
2024-03-10 20:00:00,0.61207104
2024-03-10 21:00:00,0.9547924
2024-03-10 22:00:00,0.8542761
2024-03-10 23:00:00,0.6007895
2024-03-11 00:00:00,0.3653632
2024-03-11 01:00:00,0.1207418
2024-03-11 02:00:00,-0.08399257
2024-03-11 03:00:00,-0.26395205
2024-03-11 04:00:00,-0.46322778
2024-03-11 05:00:00,-0.63903826
2024-03-11 06:00:00,-0.3731529
2024-03-11 07:00:00,0.07844529
2024-03-11 08:00:00,0.415405
